track_name,artist_name,artist_count,streams,days_released,is_ranked,chart_rank,inverse_rank,num_playlists,is_minor,bpm,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness
Blinding Lights,The Weeknd,1,3703895074,1593,1,69,0.014492753623188406,43899,0,171,0.5,0.38,0.8,0.0,0.0,0.09,0.07
Shape of You,Ed Sheeran,1,3562543890,2650,1,10,0.1,32181,1,96,0.83,0.93,0.65,0.58,0.0,0.09,0.08
Someone You Loved,Lewis Capaldi,1,2887241814,1979,1,53,0.018867924528301886,17836,0,110,0.5,0.45,0.41,0.75,0.0,0.11,0.03
Dance Monkey,Tones and I,1,2864791672,1796,0,0,0.0,24529,1,98,0.82,0.54,0.59,0.69,0.0,0.18,0.1
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2,2808096550,2009,1,78,0.01282051282051282,24094,0,90,0.76,0.91,0.5,0.54,0.0,0.07,0.05
One Dance,"Drake, WizKid, Kyla",3,2713922350,2927,1,24,0.041666666666666664,43257,0,104,0.77,0.36,0.63,0.01,0.0,0.36,0.05
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2,2665343922,1005,1,36,0.027777777777777776,17050,0,170,0.59,0.48,0.76,0.04,0.0,0.1,0.05
Believer,Imagine Dragons,1,2594040133,2625,1,23,0.043478260869565216,18986,1,125,0.77,0.74,0.78,0.04,0.0,0.23,0.11
Closer,"The Chainsmokers, Halsey",2,2591224264,2870,0,0,0.0,28032,0,95,0.75,0.64,0.52,0.41,0.0,0.11,0.03
Starboy,"The Weeknd, Daft Punk",2,2565529693,2757,1,79,0.012658227848101266,29536,0,186,0.68,0.49,0.59,0.16,0.0,0.13,0.28
Perfect,Ed Sheeran,1,2559529074,2655,1,13,0.07692307692307693,16596,0,95,0.6,0.17,0.45,0.16,0.0,0.11,0.02
Heat Waves,Glass Animals,1,2557975762,1381,1,63,0.015873015873015872,22543,0,81,0.76,0.53,0.53,0.44,0.0,0.09,0.09
As It Was,Harry Styles,1,2513188493,740,1,130,0.007692307692307693,23575,1,174,0.52,0.66,0.73,0.34,0.0,0.31,0.06
Seï¿½ï¿½o,"Shawn Mendes, Camila Cabello",2,2484812918,1756,1,2,0.5,15010,1,117,0.76,0.77,0.52,0.04,0.0,0.08,0.03
Say You Won't Let Go,James Arthur,1,2420461338,2769,1,16,0.0625,15722,0,99,0.4,0.45,0.56,0.69,0.0,0.09,0.05
lovely - Bonus Track,"Billie Eilish, Khalid",2,2355719893,2433,1,30,0.03333333333333333,15032,1,115,0.35,0.12,0.3,0.93,0.0,0.1,0.03
Watermelon Sugar,Harry Styles,1,2322580122,1605,1,34,0.029411764705882353,21915,0,95,0.55,0.56,0.82,0.12,0.0,0.34,0.05
Don't Start Now,Dua Lipa,1,2303033973,1622,0,0,0.0,27119,1,124,0.79,0.68,0.79,0.01,0.0,0.1,0.08
Lucid Dreams,Juice WRLD,1,2288695111,2490,0,0,0.0,14749,1,84,0.44,0.22,0.48,0.38,0.0,0.33,0.24
Sweater Weather,The Neighbourhood,1,2282771485,4348,1,61,0.01639344262295082,16413,0,124,0.61,0.41,0.81,0.05,0.02,0.1,0.03
Thinking Out Loud,Ed Sheeran,1,2280566092,3751,0,0,0.0,33032,0,79,0.78,0.58,0.45,0.47,0.0,0.18,0.03
Photograph,Ed Sheeran,1,2236667932,3581,1,3,0.3333333333333333,18778,0,108,0.61,0.2,0.38,0.61,0.0,0.1,0.05
Something Just Like This,"The Chainsmokers, Coldplay",2,2204080728,2603,1,21,0.047619047619047616,23375,1,103,0.61,0.47,0.65,0.03,0.0,0.17,0.04
Bohemian Rhapsody - Remastered 2011,Queen,1,2197010679,17693,1,3,0.3333333333333333,40112,1,71,0.41,0.23,0.4,0.27,0.0,0.3,0.05
Shallow,"Lady Gaga, Bradley Cooper",2,2159346687,2021,1,12,0.08333333333333333,16636,0,96,0.57,0.3,0.4,0.38,0.0,0.26,0.03
Take Me To Church,Hozier,1,2135158446,3861,1,31,0.03225806451612903,23804,1,129,0.57,0.41,0.66,0.63,0.0,0.12,0.05
Circles,Post Malone,1,2132335812,1684,1,16,0.0625,19664,0,120,0.7,0.59,0.75,0.24,0.0,0.09,0.04
Love Yourself,Justin Bieber,1,2123309722,3074,1,5,0.2,22730,0,100,0.61,0.53,0.38,0.84,0.0,0.28,0.44
All of Me,John Legend,1,2086124197,3904,0,0,0.0,27221,0,120,0.42,0.33,0.26,0.92,0.0,0.13,0.03
Counting Stars,OneRepublic,1,2011464183,4116,1,43,0.023255813953488372,29215,1,122,0.66,0.48,0.71,0.06,0.0,0.12,0.04
Riptide,Vance Joy,1,2009094673,17996,1,55,0.01818181818181818,31123,0,102,0.48,0.5,0.73,0.43,0.0,0.15,0.04
Wake Me Up - Radio Edit,Avicii,1,1970673297,4116,1,34,0.029411764705882353,50887,0,124,0.53,0.66,0.78,0.0,0.0,0.16,0.05
Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",3,1953533826,4620,1,52,0.019230769230769232,6074,0,146,0.63,0.88,0.93,0.03,0.0,0.1,0.08
The Hills,The Weeknd,1,1947371785,3240,1,4,0.25,25744,1,136,0.36,0.12,0.57,0.09,0.0,0.14,0.08
HUMBLE.,Kendrick Lamar,1,1929770265,2567,1,1,1.0,33206,1,150,0.91,0.42,0.6,0.0,0.0,0.09,0.12
One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa",2,1897517891,2503,1,10,0.1,27705,1,124,0.79,0.59,0.86,0.04,0.0,0.08,0.11
good 4 u,Olivia Rodrigo,1,1887039593,1061,1,6,0.16666666666666666,15563,1,166,0.56,0.68,0.66,0.28,0.0,0.11,0.18
drivers license,Olivia Rodrigo,1,1858144199,1187,1,3,0.3333333333333333,12685,0,144,0.59,0.21,0.43,0.76,0.0,0.1,0.07
Demons,Imagine Dragons,1,1840364617,4482,1,13,0.07692307692307693,26694,0,180,0.33,0.38,0.71,0.2,0.0,0.28,0.05
Lose Yourself - Soundtrack Version,Eminem,1,1829992958,8134,1,21,0.047619047619047616,32502,0,171,0.7,0.06,0.73,0.01,0.0,0.36,0.26
INDUSTRY BABY (feat. Jack Harlow),"Jack Harlow, Lil Nas X",2,1814349763,991,0,0,0.0,13315,1,150,0.74,0.89,0.7,0.02,0.0,0.05,0.06
Another Love,Tom Odell,1,1813673666,4194,1,83,0.012048192771084338,18371,1,123,0.45,0.13,0.54,0.7,0.0,0.09,0.04
Mr. Brightside,The Killers,1,1806617704,7504,1,15,0.06666666666666667,51979,0,148,0.35,0.24,0.93,0.0,0.0,0.1,0.08
Levitating (feat. DaBaby),"Dua Lipa, DaBaby",2,1802514301,1474,1,8,0.125,15894,1,103,0.7,0.92,0.83,0.01,0.0,0.07,0.06
No Role Modelz,J. Cole,1,1791000570,3409,1,36,0.027777777777777776,21164,1,100,0.7,0.47,0.52,0.3,0.0,0.06,0.33
Do I Wanna Know?,Arctic Monkeys,1,1788326445,4116,1,26,0.038461538461538464,33783,0,85,0.55,0.42,0.53,0.17,0.0,0.22,0.03
Dakiti,"Bad Bunny, Jhay Cortez",2,1763363713,1257,1,21,0.047619047619047616,11215,1,110,0.73,0.14,0.57,0.4,0.0,0.11,0.05
Memories,Maroon 5,1,1759567999,1663,1,2,0.5,9974,0,91,0.77,0.6,0.32,0.84,0.0,0.08,0.05
Yellow,Chris Molitor,1,1755214421,9230,1,43,0.023255813953488372,31358,0,173,0.43,0.28,0.66,0.0,0.0,0.23,0.03
MONTERO (Call Me By Your Name),Lil Nas X,1,1735441776,1299,0,0,0.0,12329,1,179,0.61,0.76,0.51,0.3,0.0,0.38,0.15
There's Nothing Holdin' Me Back,Shawn Mendes,1,1714490998,2755,0,0,0.0,12382,0,122,0.86,0.97,0.8,0.36,0.0,0.09,0.06
Mood (feat. Iann Dior),"24kgoldn, Iann Dior",2,1699402402,1355,0,0,0.0,12854,1,91,0.7,0.76,0.72,0.22,0.0,0.27,0.04
'Till I Collapse,"Eminem, Nate Dogg",2,1695712020,7989,0,0,0.0,22923,0,171,0.55,0.1,0.85,0.07,0.0,0.08,0.2
Dynamite,BTS,1,1692897992,1327,1,5,0.2,8528,1,114,0.75,0.74,0.77,0.01,0.0,0.09,0.1
Smells Like Teen Spirit - Remastered 2021,Nirvana,1,1690192927,11900,1,9,0.1111111111111111,49991,0,117,0.52,0.73,0.91,0.0,0.0,0.11,0.07
Without Me,Eminem,1,1687664027,8134,1,43,0.023255813953488372,21081,0,112,0.92,0.67,0.66,0.0,0.0,0.36,0.09
When I Was Your Man,Bruno Mars,1,1661187319,4143,1,11,0.09090909090909091,2420,0,145,0.6,0.43,0.27,0.94,0.0,0.14,0.04
Die For You,The Weeknd,1,1647990401,2693,1,59,0.01694915254237288,2483,1,134,0.59,0.51,0.52,0.09,0.0,0.15,0.07
Just The Way You Are,Bruno Mars,1,1641426668,5212,1,13,0.07692307692307693,21106,0,109,0.63,0.46,0.85,0.01,0.0,0.09,0.05
In The End,Linkin Park,1,1624165576,8568,1,6,0.16666666666666666,25065,1,105,0.55,0.4,0.9,0.01,0.0,0.32,0.06
The Scientist,Coldplay,1,1608164312,7918,1,6,0.16666666666666666,30992,0,146,0.56,0.21,0.44,0.73,0.0,0.11,0.02
Before You Go,Lewis Capaldi,1,1608045237,1621,1,24,0.041666666666666664,8327,0,112,0.45,0.19,0.6,0.63,0.0,0.09,0.06
I'm Not The Only One,Sam Smith,1,1606986953,3751,1,3,0.3333333333333333,17492,0,82,0.68,0.5,0.49,0.56,0.0,0.08,0.04
Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",3,1605224506,2342,1,52,0.019230769230769232,21097,0,116,0.8,0.92,0.8,0.04,0.0,0.1,0.03
Every Breath You Take - Remastered 2003,The Police,1,1593270737,15069,1,19,0.05263157894736842,22439,0,117,0.82,0.73,0.45,0.54,0.0,0.07,0.03
Viva La Vida,Coldplay,1,1592909789,5943,1,62,0.016129032258064516,33898,1,138,0.49,0.42,0.62,0.09,0.0,0.11,0.03
Save Your Tears,The Weeknd,1,1591223784,1481,1,13,0.07692307692307693,12688,0,118,0.68,0.61,0.82,0.02,0.0,0.5,0.03
Kiss Me More (feat. SZA),"SZA, Doja Cat",2,1575467011,1096,0,0,0.0,15867,0,111,0.77,0.74,0.66,0.3,0.0,0.13,0.03
Bad Habits,Ed Sheeran,1,1555511105,1314,1,8,0.125,12755,1,126,0.81,0.59,0.9,0.05,0.0,0.36,0.03
Sweet Child O' Mine,Guns N' Roses,1,1553497987,13613,1,1,1.0,41231,0,125,0.45,0.67,0.9,0.09,0.11,0.1,0.05
Locked Out Of Heaven,Bruno Mars,1,1481349984,4143,1,9,0.1111111111111111,1622,0,144,0.73,0.87,0.7,0.06,0.0,0.28,0.05
Payphone,"Maroon 5, Wiz Khalifa",2,1479264469,4482,1,4,0.25,14143,0,110,0.74,0.51,0.74,0.02,0.0,0.29,0.04
Take On Me,a-ha,1,1479115056,14417,1,17,0.058823529411764705,44927,1,84,0.57,0.86,0.9,0.02,0.0,0.09,0.05
Rolling in the Deep,Adele,1,1472799873,4880,1,6,0.16666666666666666,35684,0,105,0.73,0.52,0.76,0.13,0.0,0.05,0.03
Somebody That I Used To Know,"Gotye, Kimbra",2,1457139296,4847,0,0,0.0,42798,0,129,0.86,0.75,0.52,0.54,0.0,0.1,0.04
The Nights,Avicii,1,1456081449,3751,1,8,0.125,17354,0,126,0.53,0.66,0.85,0.02,0.0,0.24,0.04
Call Out My Name,The Weeknd,1,1449799467,2203,1,6,0.16666666666666666,11087,0,134,0.45,0.17,0.6,0.21,0.0,0.33,0.04
All I Want for Christmas Is You,Mariah Carey,1,1449779435,10756,0,0,0.0,25653,0,150,0.34,0.33,0.63,0.16,0.0,0.07,0.04
Peaches (feat. Daniel Caesar & Giveon),"Justin Bieber, Daniel Caesar, Giveon",3,1445941661,1117,0,0,0.0,14140,0,90,0.63,0.49,0.68,0.38,0.0,0.42,0.18
Me Porto Bonito,"Chencho Corleone, Bad Bunny",2,1440757818,704,1,43,0.023255813953488372,8870,1,92,0.91,0.43,0.71,0.09,0.0,0.09,0.08
Adore You,Harry Styles,1,1439191367,1586,1,1,1.0,13454,0,99,0.68,0.57,0.77,0.02,0.0,0.1,0.05
LA CANCIï¿½,"J Balvin, Bad Bunny",2,1435127549,1747,1,31,0.03225806451612903,6398,0,176,0.75,0.43,0.65,0.15,0.0,0.11,0.32
The Real Slim Shady,Eminem,1,1424589568,8865,1,27,0.037037037037037035,20763,1,104,0.95,0.78,0.66,0.03,0.0,0.04,0.06
The Night We Met,Lord Huron,1,1410088830,3354,1,35,0.02857142857142857,18515,0,174,0.45,0.1,0.37,0.97,0.25,0.64,0.04
Easy On Me,Adele,1,1406111294,908,1,20,0.05,10195,0,142,0.6,0.13,0.37,0.58,0.0,0.13,0.03
Let Me Down Slowly,Alec Benjamin,1,1374581173,2146,1,19,0.05263157894736842,5897,1,150,0.65,0.51,0.55,0.73,0.0,0.14,0.03
Beggin,Mï¿½ï¿½ne,1,1367810478,2314,0,0,0.0,8559,1,134,0.71,0.59,0.8,0.13,0.0,0.36,0.05
Numb,Linkin Park,1,1361425037,7687,1,5,0.2,20111,0,110,0.5,0.24,0.86,0.0,0.0,0.64,0.04
Gangsta's Paradise,"Coolio, L.V.",2,1357608774,10500,1,17,0.058823529411764705,10624,0,80,0.63,0.4,0.61,0.09,0.0,0.56,0.06
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2,1356565093,643,1,45,0.022222222222222223,8506,0,128,0.62,0.55,0.78,0.01,0.03,0.23,0.04
